CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
132,0.71428571,0.69767442,0.0,0.0,0.375,1.0,0.0,0.42857143,20.0
133,0.71428571,0.67058824,0.0,0.0,0.25,1.0,0.0,0.42857143,20.0
134,0.71428571,0.69767442,0.0,0.0,0.25,1.0,0.0,0.57142857,20.0
135,0.76190476,0.78688525,0.03030303,0.0,0.28571429,1.0,5.73e-05,0.5,16.0
136,0.64444444,0.69677419,0.0,0.0,0.6,1.0,0.0,0.33333333,29.0
137,0.72727273,0.76923077,0.0,0.0,0.72727273,1.0,0.0,0.5,40.0
138,0.73333333,0.67741935,0.0,0.0,0.0,1.0,0.0,0.6,11.0
139,0.71428571,0.75862069,0.09090909,0.0,0.25,1.0,0.00020064,0.42857143,5.0
140,0.75,0.7755102,0.0,0.0,0.44444444,1.0,0.0,0.5,27.0
141,0.39166667,0.56722689,0.0,0.0,0.6875,1.0,0.0,0.26666667,47.0
142,0.82142857,0.82300885,0.33333333,0.25,0.625,1.0,0.00115369,0.57142857,1.0
143,0.75,0.74193548,0.0,0.0,0.375,1.0,0.0,0.57142857,21.0
144,0.75555556,0.76811594,0.0,0.0,0.7,1.0,0.0,0.55555556,34.0
145,0.76190476,0.76190476,0.0,0.0,0.42857143,1.0,0.0,0.5,16.0
146,0.66666667,0.58333333,0.0,0.0,0.44444444,1.0,0.0,0.5,24.0
147,0.3083004,0.43786127,0.07692308,0.0,0.34782609,1.0,0.00022819,0.18181818,6.0
148,0.85714286,0.85365854,0.11111111,0.0,0.625,1.0,0.00030096,0.71428571,4.0
149,0.6969697,0.76363636,0.0,0.0,0.75,1.0,0.0,0.45454545,46.0
150,0.2962963,0.38683499,0.05485232,0.0,0.46428571,1.0,0.00018782,0.14814815,8.61538462
151,0.77777778,0.75,0.0,0.0,0.66666667,1.0,0.0,0.625,28.0
152,0.77777778,0.78440367,0.0,0.0,0.9,1.0,0.0,0.55555556,35.0
153,0.78571429,0.8,0.0,0.0,0.5,1.0,0.0,0.42857143,22.0
154,0.78571429,0.79245283,0.0,0.0,0.5,1.0,0.0,0.57142857,22.0
155,0.85714286,0.88461538,0.2173913,0.14285714,0.42857143,1.0,0.00057303,0.5,1.8
156,0.8,0.78947368,0.0,0.0,0.0,1.0,0.0,0.5,8.0
157,0.8,0.78947368,0.0,0.0,0.0,1.0,0.0,0.5,8.0
158,0.8,0.72972973,0.0,0.0,0.0,1.0,0.0,0.6,12.0
159,0.80555556,0.8313253,0.0,0.0,0.66666667,1.0,0.0,0.5,29.0
